,city,18,19,21,27,33,4,6,coordinates
304,Краснодар,2167.0,9592.0,18591.0,5076.0,4111.0,3402.0,4835.0,"[38.975313, 45.03547]"
305,Красное Поле,,88.0,,,,,,"[40.693691, 44.894224]"
306,Краснокаменск,77.0,95.0,68.0,73.0,,,,"[118.034146, 50.098683]"
307,Краснотуранск,,59.0,,,,,,"[91.567756, 54.317175]"
308,Краснотурьинск,,77.0,,,,,,"[60.193574, 59.763534]"
309,Красноуральск,,64.0,,,,,,"[60.038749, 58.356726]"
310,Красноуфимск,,92.0,83.0,,,,,"[57.770791, 56.617928]"
311,Красноярск,6778.0,4624.0,5503.0,8148.0,2120.0,2253.0,4661.0,"[92.852572, 56.010569]"
312,Красные Баки,,26.0,,,,,,"[45.166619, 57.127364]"
313,Красный Чикой,,,40.0,,,,,"[108.755618, 50.363943]"
314,Красный Яр,,97.0,37.0,,,,,"[48.021312, 56.033435]"
315,Красный Яр,,97.0,37.0,,,,,"[50.389343, 53.498062]"
316,Красный Яр,,97.0,37.0,,,,,"[48.349233, 46.534259]"
317,Кропоткин,,264.0,,,206.0,,,"[40.576003, 45.434693]"
318,Крутцы,,67.0,,,,,,"[45.733851, 57.859335]"
319,Крымск,,452.0,215.0,,,,,"[37.987894, 44.935414]"
320,Кстово,219.0,,230.0,,,,,"[44.206805, 56.150665]"
321,Кубанский,,82.0,,,,,,"[40.58009, 45.92922]"
322,Кудымкар,,108.0,191.0,,,,,"[54.664183, 59.014548]"
323,Куеда,,33.0,,,,,,"[55.591352, 56.430106]"
324,Кузнецк,,124.0,,,,,,"[46.601174, 53.119335]"
325,Куйбышев,133.0,109.0,,,,,,"[78.311111, 55.445972]"
326,Кулун,,39.0,,,,,,"[89.783666, 55.332673]"
327,Кумены,,60.0,,,,,,"[49.903076, 58.103851]"
328,Кунгур,,162.0,108.0,,,,,"[56.944215, 57.42881]"
329,Курган,,437.0,245.0,1345.0,295.0,807.0,938.0,"[65.341118, 55.441004]"
330,Курсавка,,91.0,,,,,,"[42.503563, 44.459468]"
331,Курск,1222.0,3494.0,1744.0,549.0,4371.0,2425.0,896.0,"[36.193015, 51.730846]"
332,Куртамыш,,,94.0,,,,,"[64.42799, 54.910156]"
333,Кушнаренково,,,176.0,,,,,"[55.33297, 55.1012]"
334,Кызыл,,42.0,844.0,,261.0,388.0,767.0,"[94.43799, 51.71989]"
335,Кяхта,,48.0,,,,,,"[106.449903, 50.35522]"
336,Лабинск,,141.0,,,287.0,,,"[40.723578, 44.635715]"
337,Лагань,,66.0,61.0,,,,,"[47.354142, 45.392903]"
338,Лангепас,,,84.0,,,,,"[75.180725, 61.253706]"
339,Ленинградская,,114.0,,,,,,"[39.392886, 46.320553]"
340,Лениногорск,,86.0,109.0,,,,,"[52.442676, 54.599028]"
341,Ленинск-Кузнецкий,,88.0,350.0,,,,,"[86.162243, 54.663609]"
342,Ленинское,,23.0,,,,,,"[132.622013, 47.932641]"
343,Ленск,96.0,,,,,,,"[114.911853, 60.713735]"
344,Лермонтов,,209.0,,,,,,"[42.973184, 44.10535]"
345,Лесной,,,,268.0,,,,"[59.79863, 58.635513]"
346,Лесозаводск,,118.0,,,,,,"[133.398221, 45.464809]"
347,Ливны,,112.0,,,,,,"[37.60805, 52.426549]"
348,Лиман,,,25.0,,,,,"[47.223824, 45.781843]"
349,Липецк,1235.0,1133.0,405.0,1856.0,428.0,1693.0,,"[39.599229, 52.608826]"
350,Лисино-Корпус,,,99.0,,,,,"[30.659806, 59.427952]"
351,Лиски,,,,150.0,,,,"[39.497099, 50.987304]"
352,Локоть,,,101.0,,,,,"[34.577036, 52.560927]"
353,Луга,,437.0,,,71.0,,,"[29.847945, 58.735207]"
354,Лысьва,,,,112.0,,,,"[57.811664, 58.100417]"
355,Лыткарино,,151.0,,,,,,"[37.908986, 55.579302]"
356,Льгов,,,10.0,,,,,"[35.257456, 51.655953]"
357,Люберцы,125.0,129.0,,,225.0,,,"[37.893328, 55.676748]"
358,Лянтор,,,107.0,,,,,"[72.155361, 61.620667]"
359,Магадан,52.0,44.0,2275.0,,103.0,,255.0,"[150.808586, 59.565155]"
360,Магнитогорск,1557.0,739.0,7025.0,2407.0,,,,"[58.980291, 53.407163]"
361,Майкоп,193.0,1144.0,2252.0,1782.0,2103.0,413.0,1425.0,"[40.105852, 44.606683]"
362,Майский,,615.0,1115.0,,,,,"[44.051756, 43.628254]"
363,Майский,,615.0,1115.0,,,,,"[36.455233, 50.523238]"
364,Мари-Турек,,4.0,,,,,,"[49.622164, 56.788707]"
365,Мариинск,,115.0,,,,,,"[87.742263, 56.206957]"
366,Маркс,,131.0,73.0,,,,,"[46.740144, 51.712591]"
367,Массандра,,137.0,,,,,,"[34.186035, 44.514701]"
368,Махачкала,800.0,1269.0,4193.0,322.0,3776.0,1724.0,2993.0,"[47.504745, 42.9831]"
369,Мглин,,1.0,,,,,,"[32.847815, 53.061074]"
370,Мегион,62.0,75.0,75.0,,,,,"[76.102621, 61.03289]"
371,Междуреченск,,,1842.0,,,,,"[88.080398, 53.685199]"
372,Междуреченский,,36.0,,,,,,"[65.900364, 59.596753]"
373,Мелеуз,96.0,702.0,32.0,18.0,,,,"[55.927672, 52.959143]"
374,Мельниково,,94.0,,,,,,"[84.079849, 56.55621]"
375,Мензелинск,,76.0,,,138.0,,,"[53.101429, 55.719972]"
