,city,11,15,18,27,coordinates
316,Кольчугино,,87.0,,,"[39.376501, 56.293647]"
317,Коммунар,,74.0,,,"[30.393483, 59.621609]"
318,Коммунар,,74.0,,,"[37.738602, 51.850795]"
319,Комсомольск-на-Амуре,1880.0,2495.0,1868.0,1435.0,"[137.008685, 50.550055]"
320,Комсомольский,,56.0,84.0,,"[45.827967, 54.440497]"
321,Конаково,,51.0,,,"[36.779354, 56.713242]"
322,Копейск,,207.0,,,"[61.611574, 55.115697]"
323,Кораблино,,56.0,,,"[40.034463, 53.926817]"
324,Кореновск,,213.0,,,"[39.448033, 45.462742]"
325,Коркино,,214.0,,,"[61.393049, 54.892493]"
326,Королев,581.0,540.0,,,"[37.815211, 55.918953]"
327,Королёв,322.0,1552.0,,3054.0,"[37.815211, 55.918953]"
328,Коряжма,,59.0,,,"[47.159864, 61.315335]"
329,Костомукша,,85.0,,,"[30.596637, 64.587358]"
330,Кострома,408.0,2410.0,110.0,1029.0,"[40.926894, 57.767918]"
331,Котлас,,120.0,,,"[46.633226, 61.252975]"
332,Котовск,,61.0,47.0,,"[41.50575, 52.59292]"
333,Красная Пойма,,92.0,,,"[39.081889, 55.003105]"
334,Красноармейск,,39.0,,,"[38.141578, 56.120342]"
335,Красноармейск,,39.0,,,"[45.695178, 51.023973]"
336,Красноармейское,,37.0,,,"[50.034823, 52.710292]"
337,Красноборск,,49.0,,,"[45.944111, 61.55949]"
338,Красновишерск,,10.0,,,"[57.083301, 60.412825]"
339,Красногорск,,152.0,,,"[37.330399, 55.831003]"
340,Краснодар,4679.0,6248.0,2167.0,5076.0,"[38.975313, 45.03547]"
341,Красное Поле,,78.0,,,"[40.693691, 44.894224]"
342,Краснокаменск,,155.0,77.0,73.0,"[118.034146, 50.098683]"
343,Краснокамск,,108.0,,,"[55.736376, 58.078362]"
344,Красномайский,,98.0,,,"[34.414818, 57.62227]"
345,Краснотурьинск,,64.0,,,"[60.193574, 59.763534]"
346,Красноуральск,,53.0,,,"[60.038749, 58.356726]"
347,Красноуфимск,,147.0,,,"[57.770791, 56.617928]"
348,Красноярск,9898.0,8199.0,6778.0,8148.0,"[92.852572, 56.010569]"
349,Красные Баки,22.0,24.0,,,"[45.166619, 57.127364]"
350,Красный Октябрь,,19.0,,,"[64.811292, 55.652695]"
351,Красный Сулин,,137.0,,,"[40.057495, 47.893519]"
352,Красный Яр,,32.0,,,"[48.021312, 56.033435]"
353,Красный Яр,,32.0,,,"[50.389343, 53.498062]"
354,Красный Яр,,32.0,,,"[48.349233, 46.534259]"
355,Кропоткин,,232.0,,,"[40.576003, 45.434693]"
356,Крымск,,398.0,,,"[37.987894, 44.935414]"
357,Кстово,,217.0,219.0,,"[44.206805, 56.150665]"
358,Кубанский,,72.0,,,"[40.58009, 45.92922]"
359,Кудымкар,,197.0,,,"[54.664183, 59.014548]"
360,Кузнецк,146.0,239.0,,,"[46.601174, 53.119335]"
361,Куйбышев,,116.0,133.0,,"[78.311111, 55.445972]"
362,Кулебаки,,102.0,,,"[42.512492, 55.429716]"
363,Кулун,,42.0,,,"[89.783666, 55.332673]"
364,Кумертау,,1197.0,,,"[55.796698, 52.756185]"
365,Кунгур,,69.0,,,"[56.944215, 57.42881]"
366,Курган,169.0,2498.0,,1345.0,"[65.341118, 55.441004]"
367,Курск,2737.0,4401.0,1222.0,549.0,"[36.193015, 51.730846]"
368,Кущевская,,74.0,,,"[39.628191, 46.565699]"
369,Кызыл,,444.0,,,"[94.43799, 51.71989]"
370,Кыштым,109.0,102.0,,,"[60.538958, 55.707882]"
371,Лабинск,170.0,124.0,,,"[40.723578, 44.635715]"
372,Лабытнанги,,126.0,,,"[66.37993, 66.660883]"
373,Лагань,,77.0,,,"[47.354142, 45.392903]"
374,Лангепас,,90.0,,,"[75.180725, 61.253706]"
375,Ленинградская,,100.0,,,"[39.392886, 46.320553]"
376,Лениногорск,,983.0,,,"[52.442676, 54.599028]"
377,Ленинск,,105.0,,,"[45.199228, 48.693682]"
378,Ленск,,156.0,96.0,,"[114.911853, 60.713735]"
379,Лесной,330.0,837.0,,268.0,"[59.79863, 58.635513]"
380,Лесосибирск,,754.0,,,"[92.503666, 58.221733]"
381,Ливны,,807.0,,,"[37.60805, 52.426549]"
382,Ликино-Дулево,,277.0,,,"[38.958712, 55.707086]"
383,Липецк,690.0,4534.0,1235.0,1856.0,"[39.599229, 52.608826]"
384,Лиски,,215.0,,150.0,"[39.497099, 50.987304]"
385,Луга,,62.0,,,"[29.847945, 58.735207]"
386,Луховицы,,108.0,,,"[39.02605, 54.96515]"
387,Лысково,,67.0,,,"[45.040971, 56.021362]"
388,Лысьва,,790.0,,112.0,"[57.811664, 58.100417]"
389,Лыткарино,,112.0,,,"[37.908986, 55.579302]"
390,Люберцы,,95.0,125.0,,"[37.893328, 55.676748]"
391,Любим,,40.0,,,"[40.686882, 58.362004]"
392,Лянтор,,115.0,,,"[72.155361, 61.620667]"
393,Магадан,,101.0,52.0,,"[150.808586, 59.565155]"
394,Магнитогорск,2296.0,4564.0,1557.0,2407.0,"[58.980291, 53.407163]"
395,Майкоп,,1040.0,193.0,1782.0,"[40.105852, 44.606683]"
396,Майский,,85.0,,,"[44.051756, 43.628254]"
397,Майский,,85.0,,,"[36.455233, 50.523238]"
398,Максатиха,,21.0,,,"[35.869864, 57.795725]"
399,Малояз,,54.0,,,"[58.155889, 55.179724]"
400,Мангут,,24.0,,,"[112.672713, 49.695882]"
401,Массандра,,148.0,,,"[34.186035, 44.514701]"
402,Махачкала,2707.0,651.0,800.0,322.0,"[47.504745, 42.9831]"
403,Мегион,,79.0,62.0,,"[76.102621, 61.03289]"
404,Медвенка,,28.0,,,"[36.109148, 51.419546]"
405,Медногорск,,133.0,,,"[57.582944, 51.403446]"
406,Междуреченск,,156.0,,,"[88.080398, 53.685199]"
407,Междуреченский,,38.0,,,"[65.900364, 59.596753]"
408,Мелеуз,,1410.0,96.0,18.0,"[55.927672, 52.959143]"
409,Миасс,151.0,771.0,,1045.0,"[60.109599, 55.050432]"
410,Микунь,,110.0,,,"[50.082532, 62.356493]"
411,Миллерово,,47.0,,,"[40.394849, 48.92173]"
412,Минеральные Воды,,,,433.0,"[43.13834, 44.208806]"
413,Мирный,,96.0,59.0,55.0,"[113.978701, 62.541028]"
414,Мирный,,96.0,59.0,55.0,"[40.326613, 62.761555]"
415,Мирный,,96.0,59.0,55.0,"[61.733762, 55.251501]"
416,Михайловка,,281.0,158.0,,"[43.23445, 50.07938]"
417,Михайловка,,281.0,158.0,,"[55.889629, 54.807658]"
418,Михайловск,,104.0,,,"[59.125926, 56.444862]"
419,Михайловск,,104.0,,,"[42.028803, 45.129667]"
420,Михайловское,,67.0,,,"[44.62975, 43.099153]"
421,Михайловское,,67.0,,,"[79.721223, 51.820014]"
422,Мичуринск,,451.0,,656.0,"[40.49802, 52.893913]"
423,Мичуринский,,209.0,,,"[34.235424, 53.274777]"
424,Можга,,71.0,,,"[52.213022, 56.440244]"
425,Моздок,,100.0,,105.0,"[44.653887, 43.735433]"
426,Моздок,,100.0,,105.0,"[44.653887, 43.735433]"
427,Мончегорск,,86.0,,111.0,"[32.937071, 67.938921]"
428,Москва,20035.0,57536.0,14212.0,60524.0,"[37.617644, 55.755819]"
429,Московское,,85.0,,,"[41.918652, 45.284999]"
430,Мраково,,27.0,,,"[56.621163, 52.715502]"
431,Муравленко,,86.0,,,"[74.494457, 63.795285]"
