,city,8,15,26,27,coordinates
414,Красные Баррикады,,,59.0,,"[47.858618, 46.204584]"
415,Красный Кут,102.0,,,,"[46.968118, 50.951263]"
416,Красный Октябрь,,19.0,,,"[64.811292, 55.652695]"
417,Красный Сулин,161.0,137.0,,,"[40.057495, 47.893519]"
418,Красный Яр,77.0,32.0,40.0,,"[48.021312, 56.033435]"
419,Красный Яр,77.0,32.0,40.0,,"[50.389343, 53.498062]"
420,Красный Яр,77.0,32.0,40.0,,"[48.349233, 46.534259]"
421,Кропоткин,235.0,232.0,,,"[40.576003, 45.434693]"
422,Крымск,208.0,398.0,,,"[37.987894, 44.935414]"
423,Кстово,200.0,217.0,,,"[44.206805, 56.150665]"
424,Кубанский,73.0,72.0,,,"[40.58009, 45.92922]"
425,Кудымкар,203.0,197.0,,,"[54.664183, 59.014548]"
426,Куеда,31.0,,,,"[55.591352, 56.430106]"
427,Кузнецк,116.0,239.0,,,"[46.601174, 53.119335]"
