prof_domain,type,speciality,code,code_group
Электроника и микроэлектроника,СПО,Электромонтажник,11.02.14,11
Электроника и микроэлектроника,СПО,Электромонтажник,11.02.13,11
Электроника и микроэлектроника,СПО,Разнорабочий,11.01.11,11
Электроника и микроэлектроника,СПО,Разнорабочий,11.01.12,11
Электроника и микроэлектроника,СПО,Разнорабочий,11.01.13,11
Электроника и микроэлектроника,ВПО,Инженер-конструктор,11.03.02,11
Электроника и микроэлектроника,ВПО,Инженер-конструктор,11.03.03,11
Электроника и микроэлектроника,ВПО,Специалист по сертификации,27.03.01,27
Электроника и микроэлектроника,ВПО,Технолог,11.03.04,11
Электроника и микроэлектроника,ВПО,Технолог,11.03.03,11
Электроника и микроэлектроника,ВПО,Инженер по качеству,27.03.02,27
