,city,Авиастроение и космическая отрасль,Добыча нефти и газа,Добыча угля и металлических руд,Машиностроение,Судостроение,Фармацевтика,Химическая промышленность,Цветная металлургия,Черная металлургия,Электроника и микроэлектроника,coordinates
1023,Усть-Лабинск,,178.75,146.25,,83.0,3.25,,,,,"[39.691225, 45.213657]"
1024,Уфа,20640.75,31146.642857142855,27103.071428571428,34259.0,17423.75,45751.357142857145,12315.0,15348.375,15210.708333333334,25825.833333333332,"[55.958736, 54.735152]"
1025,Ухта,1334.75,20366.5,16851.5,3580.0,3436.75,1491.2142857142858,1311.142857142857,1653.732142857143,1645.0654761904761,1439.2619047619048,"[53.663999, 63.566006]"
1026,Учалы,,294.6428571428571,241.07142857142856,,163.0,163.35714285714286,,,,,"[59.379152, 54.316497]"
1027,Учебное,,,,,,66.0,,,,,"[43.929432, 43.779455]"
1028,Фатеж,,,,,,41.0,,,,,"[35.860935, 52.089598]"
1029,Феодосия,34.5,,,276.0,290.5,128.0,,40.25,40.25,23.0,"[35.383911, 45.026654]"
1030,Фокино,35.0,,,280.0,156.0,,,281.6333333333333,273.03333333333336,23.333333333333332,"[34.415923, 53.455436]"
1031,Фокино,35.0,,,280.0,156.0,,,281.6333333333333,273.03333333333336,23.333333333333332,"[132.410936, 42.97407]"
1032,Фролово,,316.25,258.75,,116.0,5.75,,,,,"[43.649185, 49.765605]"
1033,Фрязино,,,,,,,,,,3340.0,"[38.042808, 55.961339]"
1034,Фурманов,,,,,76.0,,,,,,"[41.106189, 57.252601]"
1035,Хабаровск,3240.5,8883.142857142857,7384.571428571428,7759.0,15695.5,9519.642857142857,4884.857142857143,4758.092857142858,4714.02619047619,9563.404761904761,"[135.071917, 48.480229]"
1036,Хандыга,41.0,263.2142857142857,215.35714285714283,328.0,41.0,4.785714285714286,,47.833333333333336,47.833333333333336,27.333333333333332,"[135.563053, 62.653533]"
1037,Ханты-Мансийск,30.5,11866.571428571428,10012.285714285714,244.0,1328.5,1550.4285714285713,,35.583333333333336,35.583333333333336,20.333333333333332,"[69.046866, 61.035726]"
1038,Ханты-Мансийск,30.5,11866.571428571428,10012.285714285714,244.0,1328.5,1550.4285714285713,,35.583333333333336,35.583333333333336,20.333333333333332,"[69.018911, 61.003184]"
1039,Харабали,,25.535714285714285,20.892857142857142,,,0.46428571428571425,,,,,"[47.249713, 47.40307]"
1040,Хасавюрт,97.0,,,776.0,235.0,510.0,,113.16666666666667,113.16666666666667,64.66666666666666,"[46.585526, 43.248524]"
1041,Хвойная,11.5,,,92.0,11.5,,,13.416666666666668,13.416666666666668,7.666666666666666,"[34.530781, 58.896724]"
1042,Хворостянка,19.75,,,158.0,19.75,,,23.041666666666668,23.041666666666668,13.166666666666666,"[48.964929, 52.615344]"
1043,Химки,202.25,,,498.0,202.25,160.0,160.0,209.29166666666669,209.29166666666669,188.16666666666666,"[37.444853, 55.889361]"
1044,Хлопуново,17.75,,,142.0,17.75,,,20.708333333333336,20.708333333333336,11.833333333333332,"[82.019545, 52.072413]"
1045,Холмск,20.75,,,166.0,348.75,54.0,,83.94166666666666,81.80833333333334,13.833333333333332,"[142.042017, 47.040819]"
1046,Хоногор,11.25,,,90.0,56.25,,,13.125,13.125,7.5,"[130.120367, 62.4684]"
1047,Хор,13.5,,,108.0,13.5,61.0,,15.750000000000002,15.750000000000002,9.0,"[134.963041, 47.885839]"
1048,Хоронхой,11.75,,,94.0,45.75,,,13.708333333333334,13.708333333333334,7.833333333333333,"[106.148195, 50.474158]"
1049,Цивильск,39.25,,,314.0,198.25,,,45.79166666666667,45.79166666666667,26.166666666666664,"[47.465309, 55.864899]"
1050,Чадан,26.5,,,212.0,122.5,138.0,,30.916666666666668,30.916666666666668,17.666666666666664,"[91.567406, 51.28294]"
1051,Чайковский,224.0,665.8928571428571,544.8214285714286,1792.0,777.0,827.6785714285714,263.7142857142857,281.61904761904765,281.61904761904765,159.47619047619045,"[54.14881, 56.778081]"
1052,Чапаевск,32.75,,,262.0,186.75,65.21428571428571,154.14285714285714,50.06547619047619,50.06547619047619,27.76190476190476,"[49.710217, 52.981709]"
1053,Частоозерье,,,,,,17.0,,,,,"[67.907299, 55.568334]"
1054,Чаши,,,,,,24.0,,,,,"[64.87544, 55.898997]"
1055,Чебаркуль,13.0,,,104.0,13.0,,,145.83333333333334,141.16666666666669,8.666666666666666,"[60.37012, 54.97779]"
1056,Чебоксары,4778.25,5901.571428571428,5227.285714285714,11192.0,11483.25,19671.857142857145,6848.285714285714,6316.1392857142855,6274.872619047619,9767.690476190477,"[47.247728, 56.139918]"
1057,Чегдомын,9.25,80.53571428571428,65.89285714285714,74.0,9.25,40.75,92.85714285714286,17.93452380952381,17.93452380952381,9.738095238095237,"[133.035948, 51.133904]"
1058,Чекмагуш,,,,,59.0,,,,,,"[54.651759, 55.139725]"
1059,Челябинск,10710.25,7419.5,6554.5,9268.0,14452.25,21540.285714285714,5927.857142857143,11388.234523809524,11110.967857142858,15825.571428571428,"[61.402554, 55.159902]"
1060,Чердынь,,,,,,35.0,,,,,"[56.482166, 60.401192]"
1061,Черемхово,17.5,220.0,180.0,140.0,121.5,81.0,,20.416666666666668,20.416666666666668,11.666666666666666,"[103.090096, 53.136917]"
1062,Черемшан,7.25,,,58.0,7.25,,,8.458333333333334,8.458333333333334,4.833333333333333,"[51.505616, 54.654704]"
1063,Черепаново,,,,,,63.0,,151.2,145.8,,"[83.37221, 54.228417]"
1064,Череповец,1395.75,608.9285714285714,498.2142857142857,4754.0,3471.75,3420.0714285714284,3620.0,4043.175,3958.9083333333338,1729.8333333333333,"[37.90347, 59.122612]"
1065,Черкесск,268.0,265.17857142857144,216.96428571428572,2144.0,2212.0,2402.8214285714284,,516.1333333333333,508.8666666666667,178.66666666666666,"[42.048279, 44.228374]"
1066,Черкизово,,,,,,,,,,402.0,"[38.740413, 55.202234]"
1067,Черногорск,66.5,308.3928571428571,252.32142857142856,532.0,333.5,234.53571428571428,295.2857142857143,100.29761904761905,100.29761904761905,55.69047619047618,"[91.306005, 53.827013]"
1068,Черноярская,15.0,,,120.0,78.0,,,17.5,17.5,10.0,"[44.34687, 43.692884]"
1069,Чернушка,39.75,410.5357142857143,335.8928571428571,318.0,203.75,7.4642857142857135,,46.375,46.375,26.5,"[56.07637, 56.516015]"
1070,Чернянка,64.0,,,141.0,64.0,53.0,53.0,65.83333333333333,65.83333333333333,60.333333333333336,"[37.804134, 50.940917]"
1071,Черский,7.5,,,60.0,7.5,,,8.75,8.75,5.0,"[161.323816, 68.755809]"
1072,Чистополь,122.5,192.5,157.5,252.0,242.5,184.5,104.0,125.58333333333334,125.58333333333334,116.33333333333333,"[50.643575, 55.372339]"
1073,Чита,585.5,13251.392857142857,10925.321428571428,1772.0,3599.5,2725.892857142857,430.85714285714283,614.8928571428571,614.8928571428571,2745.5714285714284,"[113.501049, 52.033635]"
1074,Чишмы,,,,,41.0,,,,,,"[55.380266, 54.589336]"
1075,Чкаловск,20.5,,,164.0,156.5,,,23.916666666666668,23.916666666666668,13.666666666666666,"[43.251105, 56.766257]"
1076,Чудово,,,,,84.0,,,,,,"[31.678136, 59.121666]"
